                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                 2.2233,                 1.7954,                 1.1144,                 0.1942,                0.14286,                0.08948,                0.03972,                 2.3723,                 3.5002,                 1.2073,             0.00032683,             0.00032683,             0.00032683
                     36,                 1.6924,                 1.2754,                0.98599,                0.07927,                0.09524,                0.05704,                0.03526,                 2.2937,                 4.8181,                 1.1955,             0.00033129,             0.00033129,             0.00033129
                     37,                 1.5208,                 1.1843,                 0.9582,                0.07927,                0.09524,                0.05704,                0.03526,                 2.2937,                 4.8181,                 1.1955,             0.00033546,             0.00033546,             0.00033546
                     38,                 2.0411,                 1.4638,                  1.039,                0.09003,                0.14286,                0.03798,                 0.0145,                  2.176,                 9.8155,                 1.1299,             0.00033935,             0.00033935,             0.00033935
                     39,                 1.7251,                0.97956,                 0.9377,                0.19639,                0.19048,                0.10681,                0.02754,                 2.6186,                 4.3694,                 1.2415,             0.00034295,             0.00034295,             0.00034295
                     40,                 1.7576,                   1.38,                 1.0604,                0.19639,                0.19048,                0.10681,                0.02754,                 2.6186,                 4.3694,                 1.2415,             0.00034628,             0.00034628,             0.00034628
                     41,                 1.7105,                 1.1699,                0.91353,                0.39571,                0.14286,                0.08674,                0.04353,                  2.589,                 4.0469,                 1.2794,             0.00034932,             0.00034932,             0.00034932
                     42,                 1.5791,                 1.1691,                  1.011,                0.42176,                0.19048,                0.15303,                0.10014,                 2.5171,                 3.6728,                 1.4182,             0.00035208,             0.00035208,             0.00035208
                     43,                 2.0445,                 1.2191,                 1.1604,                0.42176,                0.19048,                0.15303,                0.10014,                 2.5171,                 3.6728,                 1.4182,             0.00035455,             0.00035455,             0.00035455
                     44,                 1.9801,                 1.2534,                 1.0671,                0.01112,                0.19048,                0.00394,                0.00223,                 2.2551,                 46.828,                 1.4484,             0.00035674,             0.00035674,             0.00035674
                     45,                 1.6029,                 1.4187,                 1.0088,                0.01112,                0.19048,                0.00394,                0.00223,                 2.2551,                 46.828,                 1.4484,             0.00035865,             0.00035865,             0.00035865
                     46,                 1.6884,                 1.1748,                 1.0216,                0.00493,                 0.2381,                0.00236,                0.00117,                 2.5784,                 181.14,                 1.5865,             0.00036028,             0.00036028,             0.00036028
                     47,                 1.8897,                 1.2079,                 1.0294,                0.00493,                 0.2381,                0.00236,                0.00117,                 2.5784,                 181.14,                 1.5865,             0.00036163,             0.00036163,             0.00036163
                     48,                 2.0749,                 1.7514,                 1.2314,                0.03173,                0.28571,                0.01347,                0.00606,                 2.4514,                 12.152,                 1.3101,             0.00036269,             0.00036269,             0.00036269
                     49,                 1.5999,                 1.0822,                 0.9582,                0.03173,                0.28571,                0.01347,                0.00606,                 2.4514,                 12.152,                 1.3101,             0.00036347,             0.00036347,             0.00036347
