                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.7166,                  20.65,                  1.623,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.2409,                 4.2892,                 2.2348,             0.00023562,             0.00023562,             0.00023562
                      2,                 2.2832,                 4.6204,                 2.0192,                0.00018,                 0.0303,                  9e-05,                  2e-05,                0.22839,                    nan,                0.20314,             0.00046893,             0.00046893,             0.00046893
                      3,                 1.7795,                 3.3095,                 1.5848,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 1.9761,                 2.5538,                 1.9813,             0.00069753,             0.00069753,             0.00069753
                      4,                 2.0042,                 3.3674,                 1.7502,                0.00018,                 0.0303,                  9e-05,                  2e-05,                0.18484,                 2282.5,                0.20262,             0.00069279,             0.00069279,             0.00069279
                      5,                 1.8824,                  3.477,                 1.7087,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 1.9795,                 2.7412,                 1.7904,             0.00068573,             0.00068573,             0.00068573
                      6,                 2.0605,                 3.5058,                 1.7638,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0501,                 3.7688,                 1.9103,             0.00067866,             0.00067866,             0.00067866
                      7,                 1.8762,                 3.4957,                 1.7002,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0141,                 3.6155,                 1.7962,             0.00067159,             0.00067159,             0.00067159
                      8,                 2.0172,                 3.5917,                 1.8105,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.1525,                 3.3683,                 2.3989,             0.00066452,             0.00066452,             0.00066452
                      9,                 1.7531,                 3.2715,                 1.6391,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.1049,                 3.9253,                 2.0327,             0.00065745,             0.00065745,             0.00065745
                     10,                 1.7943,                 3.4716,                  1.686,                0.00018,                 0.0303,                  9e-05,                  2e-05,                  2.297,                 4.0035,                 2.1922,             0.00065038,             0.00065038,             0.00065038
                     11,                 1.8305,                 3.3116,                 1.6148,                0.00018,                 0.0303,                  9e-05,                  2e-05,                  2.409,                 3.7831,                 4.7207,             0.00064331,             0.00064331,             0.00064331
                     12,                 1.8987,                 3.6038,                 1.7474,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.1479,                 4.0049,                 1.9653,             0.00063625,             0.00063625,             0.00063625
                     13,                 1.9227,                 3.3537,                 1.6666,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0358,                 4.0358,                 1.9421,             0.00062918,             0.00062918,             0.00062918
                     14,                 1.9231,                 3.4321,                 1.7065,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 1.9713,                 4.2044,                 1.8384,             0.00062211,             0.00062211,             0.00062211
                     15,                 1.8871,                  3.624,                 1.6939,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0349,                 3.7586,                 1.8809,             0.00061504,             0.00061504,             0.00061504
                     16,                 1.7556,                 3.3545,                 1.6079,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0589,                  3.826,                 1.9208,             0.00060797,             0.00060797,             0.00060797
                     17,                  1.968,                 3.4413,                 1.6959,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0275,                 3.7766,                 1.8983,              0.0006009,              0.0006009,              0.0006009
                     18,                 1.5112,                 2.9823,                 1.3607,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0979,                  3.929,                 1.9282,             0.00059383,             0.00059383,             0.00059383
                     19,                 2.0827,                 3.7347,                 1.8437,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0651,                 3.6922,                 1.8739,             0.00058677,             0.00058677,             0.00058677
                     20,                  1.601,                 3.1096,                 1.3991,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 1.9544,                 3.6816,                 1.7684,              0.0005797,              0.0005797,              0.0005797
                     21,                 1.9352,                 3.5697,                 1.6847,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0746,                 3.9141,                 1.9399,             0.00057263,             0.00057263,             0.00057263
                     22,                 1.9808,                 3.6556,                 1.7788,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0336,                 3.7693,                 1.8575,             0.00056556,             0.00056556,             0.00056556
                     23,                 1.3746,                 2.9193,                  1.248,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0317,                 3.8734,                 1.8581,             0.00055849,             0.00055849,             0.00055849
                     24,                 1.5756,                 3.0451,                 1.3943,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 1.9985,                 3.8144,                  1.813,             0.00055142,             0.00055142,             0.00055142
                     25,                 1.8292,                 3.4147,                 1.6104,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 1.9914,                  3.731,                 1.8664,             0.00054435,             0.00054435,             0.00054435
                     26,                 1.5278,                 3.1241,                 1.4312,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0406,                 3.8254,                 1.8828,             0.00053728,             0.00053728,             0.00053728
                     27,                 1.5829,                 3.1525,                 1.4215,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0972,                 3.6692,                 1.9084,             0.00053022,             0.00053022,             0.00053022
                     28,                 1.7868,                   3.39,                  1.614,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0009,                 3.7856,                 2.0187,             0.00052315,             0.00052315,             0.00052315
                     29,                 1.7016,                  3.353,                 1.5353,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0983,                 3.8429,                  1.957,             0.00051608,             0.00051608,             0.00051608
                     30,                  1.405,                 2.6955,                 1.2328,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0885,                 3.8292,                  1.919,             0.00050901,             0.00050901,             0.00050901
                     31,                 1.5639,                 2.8055,                 1.3334,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.0389,                 3.5801,                 1.7996,             0.00050194,             0.00050194,             0.00050194
                     32,                 1.6239,                 2.9818,                 1.4161,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.1174,                 3.8022,                 1.8301,             0.00049487,             0.00049487,             0.00049487
                     33,                 1.7283,                 3.3258,                 1.5854,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.1304,                 3.7467,                 1.9253,              0.0004878,              0.0004878,              0.0004878
                     34,                  1.525,                 2.7919,                 1.3304,                0.00018,                 0.0303,                  9e-05,                  2e-05,                 2.1303,                 3.9673,                 1.8584,             0.00048074,             0.00048074,             0.00048074
                     35,                 2.4548,                 4.0861,                 2.1564,                0.00107,                0.06061,                0.00068,                0.00017,                 1.9014,                 3.5096,                 1.9281,             0.00047367,             0.00047367,             0.00047367
                     36,                 1.8045,                 3.3999,                 1.6078,                0.00107,                0.06061,                0.00068,                0.00017,                 2.0185,                 3.7936,                 1.8389,              0.0004666,              0.0004666,              0.0004666
                     37,                 1.8057,                 3.2518,                 1.5524,                0.00107,                0.06061,                0.00068,                0.00017,                 1.8439,                 3.8502,                 1.7613,             0.00045953,             0.00045953,             0.00045953
                     38,                 1.7084,                 3.0123,                  1.518,                0.00107,                0.06061,                0.00068,                0.00017,                 2.1312,                 3.8406,                 1.8391,             0.00045246,             0.00045246,             0.00045246
                     39,                 1.5107,                 2.8742,                 1.3615,                0.00107,                0.06061,                0.00068,                0.00017,                 1.8457,                 3.5754,                 1.8052,             0.00044539,             0.00044539,             0.00044539
                     40,                 1.8568,                 3.5314,                  1.666,                0.00107,                0.06061,                0.00068,                0.00017,                  1.934,                 3.7829,                  1.868,             0.00043832,             0.00043832,             0.00043832
                     41,                 1.8721,                 3.3702,                 1.7404,                0.00148,                0.09091,                0.00086,                0.00036,                 1.9973,                 3.8431,                 1.8567,             0.00043126,             0.00043126,             0.00043126
                     42,                  1.522,                 2.9413,                 1.3909,                0.00148,                0.09091,                0.00086,                0.00036,                 2.0634,                 3.7593,                  1.841,             0.00042419,             0.00042419,             0.00042419
                     43,                 1.6325,                  2.974,                 1.4453,                0.00148,                0.09091,                0.00086,                0.00036,                 1.9281,                 3.6449,                 1.8287,             0.00041712,             0.00041712,             0.00041712
                     44,                 1.7895,                 3.2141,                 1.6423,                0.00148,                0.09091,                0.00086,                0.00036,                  1.981,                 3.6574,                 1.9467,             0.00041005,             0.00041005,             0.00041005
                     45,                 1.8407,                 3.4168,                 1.6139,                0.00148,                0.09091,                0.00086,                0.00036,                 1.9207,                 3.5798,                 1.9003,             0.00040298,             0.00040298,             0.00040298
                     46,                 1.8966,                 3.5795,                 1.7886,                0.00148,                0.09091,                0.00086,                0.00036,                  2.002,                 3.7096,                 1.8683,             0.00039591,             0.00039591,             0.00039591
                     47,                 1.4549,                 2.7645,                 1.3286,                0.00148,                0.09091,                0.00086,                0.00036,                 2.1085,                  3.833,                 1.9031,             0.00038884,             0.00038884,             0.00038884
                     48,                 1.5469,                 2.8939,                  1.392,                0.00148,                0.09091,                0.00086,                0.00036,                 2.1404,                 3.5542,                 1.8821,             0.00038178,             0.00038178,             0.00038178
                     49,                 1.3308,                 2.6438,                 1.2599,                0.00148,                0.09091,                0.00086,                0.00036,                 2.0107,                 3.7528,                 1.8906,             0.00037471,             0.00037471,             0.00037471
                     50,                 1.4805,                 2.8848,                  1.397,                0.00395,                 0.0303,                0.00208,                0.00083,                 1.9461,                 3.7492,                  1.862,             0.00036764,             0.00036764,             0.00036764
